"Sucursal","","","","","",""
"Producto / Servicio + Variante","","","","","",""
"Cliente","Mes","","","","",""
"Ciudad","02 Febrero","","","","",""
"MARCA","Suma de Subtotal Neto","Suma de Subtotal Bruto","Suma de Margen Neto","Suma de Costo Neto","Suma de Impuestos","Suma de Cantidad"
"SFOGLIATELLA NAPOLETANA DOLCIARIA ACQUAVIVA 110 g","$31.540","$37.533","$15.542","$15.998","$5.993","38"
"SFOGLIATINE GLASSATE 200 g","$1.230","$1.464","$513","$717","$234","1"
"SPAGHETTI DEDICATO Nº180 GRANORO 500 g","$59.200","$70.448","$32.000","$27.200","$11.248","40"
"SPAGHETTI Nº12 GRANORO INTEGRALE 500 g","$29.000","$34.510","$13.670","$15.330","$5.510","20"
"SPAGHETTI Nº12 GRANORO VERMICELLONI 500 g","$350.064","$416.575","$187.424","$162.640","$66.511","304"
"SPAGHETTI RISTORANTI Nº14 GRANORO 500 g","$74.412","$88.550","$37.452","$36.960","$14.138","66"
"SPAGHETTI VERMICELLI Nº13 GRANORO 500 g","$393.120","$467.813","$213.360","$179.760","$74.693","336"
"SPAGHETTINI Nº15 GRANORO 500 g","$11.500","$13.685","$5.090","$6.410","$2.185","10"
"SPIZZICO DI SCAMORZA AFFUMICATA FROZEN MURGELLA 200 g","$5.148","$6.126","$728","$4.420","$978","2"
"SUGO GRANORO AL BASILICO 370 g","$17.940","$21.349","$7.740","$10.200","$3.409","6"
"SUGO GRANORO AL FUNGHI PORCINI 370 g","$19.200","$22.848","$10.732","$8.468","$3.648","6"
"SUGO GRANORO ALLA BOLOGNESE 370 g","$20.400","$24.276","$8.400","$12.000","$3.876","6"
"TAGLIATELLE ALL'UOVO Nº116 GRANORO 500 g","$31.205","$37.134","$17.233","$13.972","$5.929","14"
"TAGLIATELLE LISCE Nº2 GRANORO 500 g","$673.920","$801.965","$365.760","$308.160","$128.045","576"
"TAGLIATELLE SPINACI DEDICATO Nº80 GRANORO 500 g","$12.024","$14.309","$5.704","$6.320","$2.285","8"
"TAGLIOLINI ALL'UOVO Nº119 GRANORO 500 g","$24.000","$28.560","$13.320","$10.680","$4.560","12"
"TALEGGIO CASTELL ALBIERO Kg","$101.872","$121.228","$51.964","$49.908","$19.356","2,76"
"TARTUFATA DI BOSCO BOSCO D'ORO 180 g","$241.350","$287.206","$181.500","$59.850","$45.856","15"
"TARTUFI NERI INTERE BOSCO D'ORO 100 g","$33.480","$39.841","$22.236","$11.244","$6.361","1"
"TIFFANY BLACK & WHITE DOLCIARIA ACQUAVIVA 90gr","$33.480","$39.841","$19.840","$13.640","$6.361","31"
"TINTA DE SEPPIA NORTINDAL 180 g","$65.120","$77.494","$23.600","$41.520","$12.374","8"
"TORRONE FRIABILE ALLA MANDORLE 200 g","$33.240","$39.556","$16.368","$16.872","$6.316","6"
"TORRONE FRIABILE ALLA MANDORLE 250 g","$6.400","$7.616","$3.631","$2.769","$1.216","1"
"TORRONE MORBIDO ALLA MANDORLE 200 g","$28.980","$34.486","$12.180","$16.800","$5.506","6"
"TORRONE MORBIDO ALLE MANDORLE 250 g","$34.323","$40.844","$16.838","$17.485","$6.521","5"
"TRECCIA SORRENTINA 200 g","$2.040","$2.428","-$1.348","$3.388","$388","2"
"TRIPLO CONCENTRATO DI POMODORO MUTTI 200g","$49.440","$58.833","$20.904","$28.536","$9.393","24"
"TUBETTI Nº63 GRANORO 500 g","$2.106","$2.506","$426","$1.680","$400","3"
"ZAFFERANO CANNAMELA 0.1 g","$105.000","$124.950","$60.000","$45.000","$19.950","100"
"ZAMPONE NEGRINI 1 kg","$44.185","$52.580","$28.397","$15.788","$8.395","2"
"Total","$81.003.949","$96.457.956","$39.483.923","$41.520.033","$15.454.007","17.919,277"
